show_id,show_label,band_id,song,url
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-crossfire-hurricane,Desire by U2,https://youtu.be/AawaUukdDKc?si=oz_kHRiN-Ep8ROcs
lftg-21-2023,LFTG 21 (2023),lftg-21-2023-electric-word,Let's Go Crazy by Prince,https://youtu.be/Lg938Hr48Vw?si=GVPnGTZSN0EjxMEc
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sonic-shower,Number 13 by Nothing But Thieves,https://youtu.be/pRi9Tgc4uFg?si=a4MG1KSJWYx732L3
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-messy-pearls,Mess Around by Cage The Elephant,https://youtu.be/0BzdA-dFdw0?si=XgTrCUHtFsKELVPE
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-freight-train,Please Please Please Let Me Get What I Want by Deftones,https://youtu.be/47bpEQ3ejro?si=UHxts6grL5WC7jSM
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-crossfire-hurricane,Heroes by David Bowie,https://youtu.be/bqUDRbq8nC0?si=J5GktxE-fxXkOZya
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-sarcastics-featuring-wolf-and-sohn,Vampire by Olivia Rodrigo,https://youtu.be/94Ucxpoxo8s?si=t1MZPZoTNhoXhxrJ
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-april-sky,Angelina by Lizzy McAlpine,https://youtu.be/AFA57vubJ50?si=mGlLbCnsPCCAFzRY
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-red-hot-chicken-nuggets,Come Together by The Beatles,https://youtu.be/NGiseYbL_Xw?si=PmOSqSpX3brzxDqC
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-overworld,Super Mario Bros. Theme,https://youtu.be/7pXpdNxsxXc?si=1rxjj6sLhpGdZ4-K
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-sour-apples,1979 by The Smashing Pumpkins,https://youtu.be/vItXp3yZVEw?si=6tJ9yaJQZQWI2bF4
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-broken-picks,About A Girl by Nirvana,https://youtu.be/t0YmaqSdeMo?si=Mi36epsKpW_v0vKn
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-magnetic-field,Iron Man by Black Sabbath,https://youtu.be/SwbZ4XVGnjI?si=NDbVqOmIPRzgI_6r
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-easy-riders,Guitare Jet by Les Jaguars,https://youtu.be/wBbwr3MKNBw?si=Nb4MLk8dS4SrC_nO
lftg-22-2024,LFTG 22 (2024),lftg-22-2024-the-cruelest-line,Live Forever by Oasis,https://youtu.be/hXhEv1E_Gm0?si=429LI2qrMwFvwd51
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-mental-metal,London Calling by The Clash,https://youtu.be/CARzKW_rRzI?si=0aEQsRyKeGMFVuv3
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-marcil-playground,Wipe Out by The Ventures,https://youtu.be/SnuKZs-pdzo?si=J243JEgtsAWpoFbS
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-red-hot-chicken-nuggets,Wonderwall by Oasis,https://youtu.be/TeyfBkWR8gA?si=JU-Cm-qKI4EwvY0m
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-the-only-one,That’s How I’m Feeling by Jack White,https://youtu.be/aepZ4KG2wTs?si=K5qwfiDUYuIyh8Xd
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-mirror-madness,Mess Around by Cage The Elephant,https://youtu.be/4qMLoxXUeG8?si=Y0XNM5b1TIEsyTT7
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-off-track,The Middle by Jimmy Eat World,https://youtu.be/yFa4VJ1dlB8?si=IrKWhAUNbfUlDCdc
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-sarah-elman,No Time To Sleep by Tina Dickow,https://youtu.be/HKPuij5o16Q?si=JRLIwfEHrKmvksho
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-sour-apples,Apocalypse by Cigarettes After Sex,https://youtu.be/hnQ9J-Od3e4?si=uEBJbQw6ho1jOxCF
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-mechanically-separated,Knife Prty by Deftones,https://youtu.be/JwzQftHHYio?si=7fSIeTr7ROESkzSB
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-the-wrong,Aerials by System Of A Down,https://youtu.be/-OHm_qpEmKs?si=Oo0y4l08gpEkxJgD
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-modern-movement,Elevation by U2,https://youtu.be/M6aCghbQHz0?si=qO12jr_XiTVdKdO-
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-crossfire-hurricane,With Or Without You by U2,https://youtu.be/3dEOAIG2Xcw?si=Riwc9U7uiXMEeYJp
lftg-23-2025,LFTG 23 (2025),lftg-23-2025-the-lost-art,The Lost Art Of Keeping A Secret by Queens Of The Stone Age,https://youtu.be/bNZIVHlDrt4?si=CgYCYwqiBW5b7S9v
